"label","name","super_class","is_extendable","sys_updated_on"
"Mobile Studio Card Template","sg_studio_card_template","Application File","false","2020-09-13 06:51:26"
"Mobile Studio Layout Pattern","sg_studio_layout_pattern","Application File","false","2020-09-13 06:51:26"
"Signature Image","signature_image","","false","2016-03-20 00:47:14"
"Agreement","sla","","true","2020-09-13 06:36:47"
"SLA async queue","sla_async_queue","","false","2020-09-13 06:47:22"
"SLA Breakdown by Assignment","sla_breakdown_by_assignment","SLA Breakdown Core","false","2020-09-13 06:57:58"
"SLA Breakdown Core","sla_breakdown_core","","true","2020-09-13 06:57:59"
"SLA Breakdown Definition","sla_breakdown_definition","","false","2020-09-13 06:57:57"
"SLA Breakdown Definition Field","sla_breakdown_definition_field","","false","2020-09-13 06:57:58"
"SLA Conditions","sla_condition_class","Application File","false","2020-09-13 06:46:52"
"SLA Breakdown Definition to SLA Definition relation","sla_definition_sla_breakdown","","false","2020-09-13 06:57:57"
"SLA offline update","sla_offline_update","","false","2020-09-13 06:47:22"
"SLA Repair Log","sla_repair_log","","false","2020-09-13 06:47:21"
"SLA Repair Log Entry","sla_repair_log_entry","Log Entry","false","2020-09-13 06:47:21"
"SLA Repair Log Entry","sla_repair_log_entry0000","Log Entry","false","2020-09-13 07:15:05"
"SLA Repair Log Entry","sla_repair_log_entry0001","Log Entry","false","2020-09-13 07:15:06"
"SLA Repair Log Entry","sla_repair_log_entry0002","Log Entry","false","2020-09-13 07:15:07"
"SLA Repair Log Entry","sla_repair_log_entry0003","Log Entry","false","2020-09-13 07:15:08"
"SLA Repair Log Entry","sla_repair_log_entry0004","Log Entry","false","2020-09-13 07:15:09"
"SLA Repair Log Entry","sla_repair_log_entry0005","Log Entry","false","2020-09-13 07:15:10"
"SLA Repair Log Entry","sla_repair_log_entry0006","Log Entry","false","2020-09-13 07:15:11"
"SLA Repair Log Entry","sla_repair_log_entry0007","Log Entry","false","2020-09-13 07:15:12"
"SLA Repair Log Message","sla_repair_log_message","Log Entry","false","2020-09-13 06:47:20"
"SLA Repair Log Message","sla_repair_log_message0000","Log Entry","false","2020-09-13 07:15:00"
"SLA Repair Log Message","sla_repair_log_message0001","Log Entry","false","2020-09-13 07:15:01"
"SLA Repair Log Message","sla_repair_log_message0002","Log Entry","false","2020-09-13 07:15:02"
"SLA Repair Log Message","sla_repair_log_message0003","Log Entry","false","2020-09-13 07:15:02"
"SLA Repair Log Message","sla_repair_log_message0004","Log Entry","false","2020-09-13 07:15:03"
"SLA Repair Log Message","sla_repair_log_message0005","Log Entry","false","2020-09-13 07:15:03"
"SLA Repair Log Message","sla_repair_log_message0006","Log Entry","false","2020-09-13 07:15:03"
"SLA Repair Log Message","sla_repair_log_message0007","Log Entry","false","2020-09-13 07:15:04"
"Agreement Requests","sla_request","","false","2020-09-13 06:36:49"
"SLA Timer Configuration","sla_timer_config","Application File","false","2020-09-13 06:58:00"
"SLA timer configuration mapping","sla_timer_config_mapping","Application File","false","2020-09-13 06:58:00"
"Sm CI Field Data","sm_ci_field_data","","false","2020-09-13 06:58:32"
"SM Flapper Strategy","sm_flapper_strategy","","false","2020-09-13 06:58:45"
"Sm Flapper Strategy Data","sm_flapper_strategy_data","","false","2020-09-13 06:58:44"
"Monitorable Item","snc_monitorable_item","","false","2020-09-13 06:19:12"
"SNMPv3 Credentials","snmpv3_credentials","Credentials","false","2020-09-13 06:45:57"
"SNMP Community Credentials (Password Only)","snmp_credentials","Credentials","false","2020-09-13 06:45:57"
"Appclient Store Outbound Http Quota","sn_appclient_store_outbound_http_quota","","false","2020-09-13 06:50:48"
"App Template","sn_appcreator_app_template","Application File","false","2020-09-13 06:50:51"
"Benchmark Activity","sn_bm_client_activity","","false","2020-09-13 06:56:41"
"Breakdown","sn_bm_client_breakdown","","false","2020-09-13 06:56:41"
"Company History","sn_bm_client_company_history","","false","2020-09-13 06:56:42"
"Customer Configuration","sn_bm_client_configuration","","false","2020-09-13 06:56:42"
"BM Document","sn_bm_client_document","","false","2020-09-13 06:56:43"
"Recommendation","sn_bm_client_recommendation","Application File","false","2020-09-13 06:56:42"
"Recommendation Activity","sn_bm_client_recommendation_activity","","false","2020-09-13 06:56:41"
"Recommendation Evaluation","sn_bm_client_recommendation_eval","","false","2020-09-13 06:56:41"
"Recommendation Indicator M2M","sn_bm_client_recommendation_indicator_m2m","Application File","false","2020-09-13 06:56:42"
"Region","sn_bm_client_region","","false","2020-09-13 06:56:42"
"Benchmark Scores","sn_bm_client_score","","false","2020-09-13 06:56:43"
"User Profile","sn_bm_client_user_profile","","false","2020-09-13 06:56:42"
"Benchmark Indicator","sn_bm_common_indicator","Application File","false","2016-12-06 14:08:00"
"Indicator Activity","sn_bm_common_indicator_activity","","false","2020-09-13 06:56:31"
"Benchmark Indicator Category","sn_bm_common_indicator_category","Application File","false","2020-09-13 06:56:31"
"Benchmark Indicator Group","sn_bm_common_indicator_group","Application File","false","2020-09-13 06:56:31"
"Customer Industry","sn_bm_common_industry","","false","2017-08-24 16:04:40"
"Opt Out Feedback Option","sn_bm_common_optout_feedback_options","Application File","false","2020-09-13 06:56:32"
"Customer Size Bucket","sn_bm_common_size_bucket","Application File","false","2020-09-13 06:56:32"
"Code Search Group","sn_codesearch_search_group","Application File","false","2015-09-07 13:20:45"
"Code Search Table","sn_codesearch_table","Application File","false","2015-09-07 13:20:51"
"App Dependency Client Application Details","sn_dependentclient_application","","false","2020-09-13 06:55:10"
"App Dependency Client App Plugin Mapping","sn_dependentclient_app_plugin_map","","false","2020-09-13 06:55:10"
"App Dependency Client Plugin Details","sn_dependentclient_plugin","","false","2020-09-13 06:55:10"
"Studio Navigation Module","sn_devstudio_navigation_module","Application File","false","2020-09-13 06:50:53"
"Studio Preferences","sn_devstudio_studio_preferences","","false","2020-09-13 06:50:54"
"Studio User Preferences","sn_devstudio_user_preferences","","false","2020-09-13 06:50:53"
"Note Template for Table","sn_m2m_note_template_for_table","","false","2020-09-13 07:01:47"
"Publication","sn_publications_publication","","false","2020-09-13 07:06:59"
"Publication Recipients","sn_publications_publication_contact_m2m","","false","2020-09-13 06:51:31"
"Recipients","sn_publications_recipientslist_user_m2m","","false","2018-02-05 00:07:42"
"Recipients List","sn_publications_recipients_list","","false","2020-09-13 06:51:30"
"Recurrence","sn_publications_recurrence","","false","2020-09-13 06:51:30"
"Workflow Config","sn_publications_workflow_config","","false","2020-09-13 06:51:31"
"Response Template","sn_templated_snip_note_template","Application File","false","2020-09-13 07:01:47"
"Widget Angular Provider","sp_angular_provider","Application File","false","2020-09-13 06:49:15"
"Carousel Slide","sp_carousel_slide","Application File","false","2020-09-13 06:49:19"
"Column","sp_column","Application File","false","2020-09-13 06:49:19"
"Container","sp_container","Application File","false","2020-09-13 06:49:18"
"Style Sheet","sp_css","Application File","false","2020-09-13 06:49:21"
"CSS Include","sp_css_include","Application File","false","2020-09-13 06:49:17"
"Widget Dependency","sp_dependency","Application File","false","2020-09-13 06:49:14"
"Service Portal Documentation","sp_documentation","Application File","false","2020-09-13 06:49:15"
"Filtered Message","sp_filtered_message","Application File","false","2020-09-13 06:49:13"
"Header | Footer","sp_header_footer","Widget","false","2020-09-13 06:49:17"
"Instance","sp_instance","Application File","true","2020-09-13 06:49:14"
"Instance of Carousel","sp_instance_carousel","Instance","false","2020-09-13 06:49:22"
"Instance with Link","sp_instance_link","Instance","false","2020-09-13 06:49:15"
"Instance with Menu","sp_instance_menu","Instance","false","2020-09-13 06:49:15"
"Instance with Table","sp_instance_table","Instance","true","2020-09-13 06:49:14"
"Instance of Simple List","sp_instance_vlist","Instance with Table","false","2020-09-13 06:49:15"
"JS Include","sp_js_include","Application File","false","2020-09-13 06:49:13"
"Service Portal Log Entry","sp_log","","false","2020-09-13 06:49:19"
"Meta Tag","sp_metatag","Application File","false","2020-09-13 06:49:15"
"Content variable","sp_metatag_variable","Application File","false","2020-09-13 06:49:16"
"Angular ng-template","sp_ng_template","Application File","false","2020-09-13 06:49:21"
"Page","sp_page","Application File","false","2020-09-13 06:49:18"
"Page Route Map","sp_page_route_map","Application File","false","2020-09-13 06:49:13"
"Dynamic page title variables","sp_page_title_variable","Application File","false","2020-09-13 06:49:21"
"Service Portal","sp_portal","Application File","false","2020-09-13 06:49:19"
"Service Portal Analyzer Entry","sp_portal_analyzer","","false","2020-09-13 06:49:21"
"Menu Item","sp_rectangle_menu_item","Application File","false","2020-09-13 06:49:14"
"Widget Clone","sp_rel_widget_clone","Application File","false","2020-09-13 06:49:22"
"Row","sp_row","Application File","false","2020-09-13 06:49:17"
"Facet","sp_search_facet","Application File","false","2020-09-13 06:49:13"
"Mapped Facet Filter","sp_search_facet_filter","Application File","false","2020-09-13 06:49:21"
"Search Group","sp_search_group","Application File","false","2020-09-13 06:49:18"
"Search Source","sp_search_source","Application File","false","2020-09-13 06:49:20"
"Theme","sp_theme","Application File","false","2020-09-13 06:49:13"
"Service Portal UI Formatter","sp_ui_formatter","Application File","false","2020-09-13 06:49:16"
"List Action","sp_vlist_action","Application File","false","2020-09-13 06:49:18"
"Widget","sp_widget","Application File","true","2020-09-13 06:49:16"
